,AnneeNaissance,NomCheval,NumSire,Race,Sexe,Suffixe,link
88,2006,SET SAIL                 ,MlN2ZHRiU1VFcFllandZYmh1SFF1dz09,PS   ,M,IRE,/fr/cheval/MlN2ZHRiU1VFcFllandZYmh1SFF1dz09
89,2010,SAHAWAR                  ,a1hqWDF1YXFCdVFhNm45MjNSMzB5QT09,PS   ,M,FR ,/fr/cheval/a1hqWDF1YXFCdVFhNm45MjNSMzB5QT09
90,2009,GREAT HEAVENS            ,TFZLdHZSZEpvVkVNSzlxeWM5dm4vZz09,PS   ,F,GB ,/fr/cheval/TFZLdHZSZEpvVkVNSzlxeWM5dm4vZz09
91,2004,DUKE OF MARMALADE        ,NUd5ZTFPNUQwNmp4OGlsY0hwOVliQT09,PS   ,M,IRE,/fr/cheval/NUd5ZTFPNUQwNmp4OGlsY0hwOVliQT09
92,2013,DSCHINGIS SECRET         ,K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09,PS   ,M,GER,/fr/cheval/K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09
93,2011,AVENIR CERTAIN           ,REdDazBNSHVPeDUxRzdXNElncFVBQT09,PS   ,F,FR ,/fr/cheval/REdDazBNSHVPeDUxRzdXNElncFVBQT09
94,2012,IQUITOS                  ,TTFWM04rREc0aTFGcVl2Zyt5dVZJZz09,PS   ,M,GER,/fr/cheval/TTFWM04rREc0aTFGcVl2Zyt5dVZJZz09
95,2008,RELIABLE MAN             ,YkRwb2FOSTN4RktyWFJ3K1dLckVCZz09,PS   ,M,GB ,/fr/cheval/YkRwb2FOSTN4RktyWFJ3K1dLckVCZz09
96,2016,JAPAN                    ,aER2UWw3NU5WUWlhNHZoRno1Y1FJdz09,PS   ,M,GB ,/fr/cheval/aER2UWw3NU5WUWlhNHZoRno1Y1FJdz09
97,2003,LA BOUM                  ,THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09,PS   ,F,GER,/fr/cheval/THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09
98,2007,WORKFORCE                ,RXVXVUZDNTBmcW80a1lCNFBpa3Qwdz09,PS   ,M,GB ,/fr/cheval/RXVXVUZDNTBmcW80a1lCNFBpa3Qwdz09
99,2010,OCOVANGO                 ,YzBpaVBQcnZ4Nko1WmRudDg5eUVOUT09,PS   ,M,GB ,/fr/cheval/YzBpaVBQcnZ4Nko1WmRudDg5eUVOUT09
100,2015,FIEREMENT                ,cTI2WHFvOXhGY0pXUmJCSDBpRWgyQT09,PS   ,M,JPN,/fr/cheval/cTI2WHFvOXhGY0pXUmJCSDBpRWgyQT09
101,2011,MANATEE                  ,Y29qVCtTMmJzQXhZYzdvR1A5aVpUQT09,PS   ,M,GB ,/fr/cheval/Y29qVCtTMmJzQXhZYzdvR1A5aVpUQT09
102,2014,BRAMETOT                 ,M0FkVEhqWWFwdkMrTWw3VGtTa3VuUT09,PS   ,M,IRE,/fr/cheval/M0FkVEhqWWFwdkMrTWw3VGtTa3VuUT09
103,2011,DOLNIYA                  ,WWRNU2l1QUQ4YktjMkZQUFBJRysrdz09,PS   ,F,FR ,/fr/cheval/WWRNU2l1QUQ4YktjMkZQUFBJRysrdz09
104,2005,HOT SIX                  ,WTh4VFBlSHE5RWZCZEh2OFFWRmxGUT09,PS   ,M,BRZ,/fr/cheval/WTh4VFBlSHE5RWZCZEh2OFFWRmxGUT09
105,2011,EAGLE TOP                ,Y1puWTl6ZGpLY2Fvd3UyTmMwQVhlZz09,PS   ,M,GB ,/fr/cheval/Y1puWTl6ZGpLY2Fvd3UyTmMwQVhlZz09
106,2008,ORFEVRE                  ,V0swazNFZzMvaCtad3ZUNTdiNmRVUT09,PS   ,M,JPN,/fr/cheval/V0swazNFZzMvaCtad3ZUNTdiNmRVUT09
107,2013,SAVOIR VIVRE             ,bDZjOTYzdnkvRUliV3dyKzYzMDZZZz09,PS   ,M,IRE,/fr/cheval/bDZjOTYzdnkvRUliV3dyKzYzMDZZZz09
108,2010,SPIRITJIM                ,WERKQUcxZHlmWnphSys3SjB4bXJSZz09,PS   ,M,FR ,/fr/cheval/WERKQUcxZHlmWnphSys3SjB4bXJSZz09
109,2007,MIDAS TOUCH              ,dVl6cnIxd1ZTSlg0TVZJK0g4QnVKZz09,PS   ,M,GB ,/fr/cheval/dVl6cnIxd1ZTSlg0TVZJK0g4QnVKZz09
110,2004,AVENTINO                 ,OVpZYW9WQ1g1cHY5RGhsUGxFSGpqQT09,PS   ,M,JPN,/fr/cheval/OVpZYW9WQ1g1cHY5RGhsUGxFSGpqQT09
111,2014,PLUMATIC                 ,YXVNNGJ2ejN5Tmh3emJqZ0xocEh3Zz09,PS   ,M,GB ,/fr/cheval/YXVNNGJ2ejN5Tmh3emJqZ0xocEh3Zz09
112,2006,NAKAYAMA FESTA           ,L0tOWlRjUkdkbWttb3FXeXhpVktzZz09,PS   ,M,JPN,/fr/cheval/L0tOWlRjUkdkbWttb3FXeXhpVktzZz09
113,2011,THE GREY GATSBY          ,eGEzek1uazFKVHQvbHIvWTJPMzlRUT09,PS   ,M,IRE,/fr/cheval/eGEzek1uazFKVHQvbHIvWTJPMzlRUT09
114,2009,ERNEST HEMINGWAY         ,d2krK3hvYUhLdlRLZjZMTzRZK2FnUT09,PS   ,M,IRE,/fr/cheval/d2krK3hvYUhLdlRLZjZMTzRZK2FnUT09
115,1983,KAMSIN                   ,Zk1YYWM4TmhwNHVqUkdzZjNsNEpEUT09,PS   ,H,ITY,/fr/cheval/Zk1YYWM4TmhwNHVqUkdzZjNsNEpEUT09
116,2014,SALOUEN                  ,aWtjV3FPTU0yK3ZuSmJldXJCR042Zz09,PS   ,M,IRE,/fr/cheval/aWtjV3FPTU0yK3ZuSmJldXJCR042Zz09
117,2013,ULYSSES                  ,cTd4UlF5R2FGTnRpR0tlNjRWY3RDdz09,PS   ,M,IRE,/fr/cheval/cTd4UlF5R2FGTnRpR0tlNjRWY3RDdz09
118,2005,BLUE BRESIL              ,bXN4Y3dmQ1FiOFpPUEU5TU1ZV2xRZz09,PS   ,M,FR ,/fr/cheval/bXN4Y3dmQ1FiOFpPUEU5TU1ZV2xRZz09
119,2003,YOUMZAIN                 ,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09,PS   ,M,IRE,/fr/cheval/NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09
120,2011,FREE PORT LUX            ,c0U5QS90bmdJdFNCV3d6SWhEKzlRUT09,PS   ,M,GB ,/fr/cheval/c0U5QS90bmdJdFNCV3d6SWhEKzlRUT09
121,2005,DUNCAN                   ,ME03Q3ZUVFNjN09uSjc2anZVOUdqdz09,PS   ,M,GB ,/fr/cheval/ME03Q3ZUVFNjN09uSjc2anZVOUdqdz09
122,2005,TANGASPEED               ,T21FMkpQRDZnRzYvZXRZRHR5VUFCdz09,PS   ,F,FR ,/fr/cheval/T21FMkpQRDZnRzYvZXRZRHR5VUFCdz09
123,2004,RED ROCK CANYON          ,VERWUENCaGRhQUNZY1drMjdFNEJtZz09,PS   ,M,IRE,/fr/cheval/VERWUENCaGRhQUNZY1drMjdFNEJtZz09
124,1993,CAMELOT                  ,U3JuWVVUc3JrendDV2RZRTlBOVpxdz09,PS   ,M,SPA,/fr/cheval/U3JuWVVUc3JrendDV2RZRTlBOVpxdz09
125,2008,PIRIKA                   ,ak04VG9jcmlLQ3gxQ2l5ZExmMGdBUT09,PS   ,F,IRE,/fr/cheval/ak04VG9jcmlLQ3gxQ2l5ZExmMGdBUT09
126,2006,CAVALRYMAN               ,U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09,PS   ,M,GB ,/fr/cheval/U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09
127,2005,STEELE TANGO             ,TWNvYXlyZytKS1pqaGpVbG01bE1LQT09,PS   ,M,USA,/fr/cheval/TWNvYXlyZytKS1pqaGpVbG01bE1LQT09
128,2006,SO YOU THINK             ,bHVNbFlaeFJTRWhPc3NLeksvSSswQT09,PS   ,M,NZ ,/fr/cheval/bHVNbFlaeFJTRWhPc3NLeksvSSswQT09
129,2013,CLOTH OF STARS           ,c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09,PS   ,M,IRE,/fr/cheval/c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09
130,2007,ST NICHOLAS ABBEY        ,dldoMUVGaE40ZlJLN21YaWkwdXhUQT09,PS   ,M,IRE,/fr/cheval/dldoMUVGaE40ZlJLN21YaWkwdXhUQT09
131,2010,TREVE                    ,d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09,PS   ,F,FR ,/fr/cheval/d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09
132,2008,SHARETA                  ,Y0pQOFZiSnRDb0syczM2cDdvWjNNdz09,PS   ,F,IRE,/fr/cheval/Y0pQOFZiSnRDb0syczM2cDdvWjNNdz09
133,2008,SEA MOON                 ,UjRyVVZ3Zi9RSk54WEs0M21IRVB2Zz09,PS   ,M,GB ,/fr/cheval/UjRyVVZ3Zi9RSk54WEs0M21IRVB2Zz09
134,2006,MARINOUS                 ,NFVobmo3Zm4zNFZ5VHhzOGFXWkJtUT09,PS   ,M,FR ,/fr/cheval/NFVobmo3Zm4zNFZ5VHhzOGFXWkJtUT09
135,2005,CIMA DE TRIOMPHE         ,aUtYaVhKMkJzQzFEblB5Q0NsU09hZz09,PS   ,M,IRE,/fr/cheval/aUtYaVhKMkJzQzFEblB5Q0NsU09hZz09
136,2017,RAABIHAH                 ,L21YajJPdkRTQkVURUtZSnozMm1HUT09,PS   ,F,USA,/fr/cheval/L21YajJPdkRTQkVURUtZSnozMm1HUT09
137,2013,VEDEVANI                 ,TnQrMC85ZWdnMFJtZ0ZRbEZyLzJUQT09,PS   ,M,FR ,/fr/cheval/TnQrMC85ZWdnMFJtZ0ZRbEZyLzJUQT09
138,2016,SOTTSASS                 ,VmpxdVlzR1R1VGNtdUxJOGVxL0VGZz09,PS   ,M,FR ,/fr/cheval/VmpxdVlzR1R1VGNtdUxJOGVxL0VGZz09
139,2010,SILJAN'S SAGA            ,aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09,PS   ,F,FR ,/fr/cheval/aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09
140,2013,SATONO DIAMOND           ,WFRSdmloSlRtRmJXNGtORzR4ckFRQT09,PS   ,M,JPN,/fr/cheval/WFRSdmloSlRtRmJXNGtORzR4ckFRQT09
